TOP TECH TIDBITS - 80% COVERAGE SOURCES

=======================================

來源: 141 期 (2024-01-04 ~ 2026-09-10) | 總連結 31,014 | 全部網域 1257



[A] 全部來源 (含社群/贊助/短網址)
80% 目標 (占全部連結) = 24,811 links | 達標來源數 = 92 個 / 1257 個 (累計 24,874 = 80.2% of 全部連結)

  RANK  LINKS  DOMAIN                                  TYPE        RSS?
     1    2496  youtube.com                              社群  no
     2    1341  twitter.com                              社群  no
     3    1134  linkedin.com                             社群  no
     4    1042  facebook.com                             社群  no
     5     920  pneumasolutions.com                      RSS  YES
     6     647  elegantinsightsjewelry.com               贊助商/商店  YES
     7     640  instagram.com                            社群  no
     8     625  carroll.org                              網站(無RSS)  no
     9     617  brailleworks.com                         RSS  YES
    10     587  aira.io                                  RSS  YES
    11     532  theaccessibilityguy.com                  RSS  YES
    12     511  mvsltd.com                               RSS  YES
    13     509  lhblind.org                              RSS  YES
    14     463  theapexprogram.com                       贊助商/商店  no
    15     446  doubletaponair.com                       RSS  YES
    16     442  iamhable.com                             網站(無RSS)  no
    17     416  freedomscientific.com                    RSS  YES
    18     396  selvasblv.com                            網站(無RSS)  no
    19     390  visiontechacademy.com                    RSS  YES
    20     367  atguys.com                               網站(無RSS)  no
    21     338  makeitfable.com                          RSS  YES
    22     336  wayaround.com                            RSS  YES
    23     331  us02web.zoom.us                          基礎設施/短網址  no
    24     307  groups.io                                社群  no
    25     305  at-newswire.com                          RSS  YES
    26     301  floridareading.com                       網站(無RSS)  no
    27     298  play.google.com                          基礎設施/短網址  YES
    28     239  davidwoodbr.podbean.com                  RSS  YES
    29     234  apple.com                                網站(無RSS)  no
    30     229  awarewolfgear.com                        贊助商/商店  no
    31     206  wired.com                                網站(無RSS)  no
    32     204  nvaccess.org                             RSS  YES
    33     203  apps.apple.com                           基礎設施/短網址  no
    34     200  applevis.com                             RSS  YES
    35     199  us06web.zoom.us                          基礎設施/短網址  no
    36     196  accessinformationnews.com                RSS  YES
    37     182  mastodon.toptechtidbits.com              社群  no
    38     179  nod.org                                  RSS  YES
    39     164  eyesonsuccess.net                        網站(無RSS)  no
    40     162  buy.stripe.com                           贊助商/商店  no
    41     152  90d2aa-2.myshopify.com                   贊助商/商店  no
    42     149  tinyurl.com                              基礎設施/短網址  no
    43     145  x.com                                    社群  no
    44     141  goo.gl                                   基礎設施/短網址  no
    45     141  itunes.apple.com                         基礎設施/短網址  no
    46     141  pmi.org                                  贊助商/商店  no
    47     141  sbctc.edu                                網站(無RSS)  no
    48     140  visionaustralia.org                      網站(無RSS)  no
    49     139  accessibilityassociation.org             網站(無RSS)  no
    50     139  csudh.edu                                網站(無RSS)  no
    51     139  getrim.app                               贊助商/商店  no
    52     139  nsw.guidedogs.com.au                     網站(無RSS)  no
    53     134  dragonscave.space                        網站(無RSS)  no
    54     130  venngage.com                             贊助商/商店  no
    55     126  w3.org                                   網站(無RSS)  no
    56     124  ada.gov                                  網站(無RSS)  no
    57     124  ai-weekly.ai                             RSS  YES
    58     124  justice.gov                              網站(無RSS)  no
    59     121  omny.fm                                  網站(無RSS)  no
    60     121  onecourt.io                              贊助商/商店  no
    61     119  cnet.com                                 RSS  YES
    62     116  biped.ai                                 網站(無RSS)  no
    63     114  innosearch.ai                            網站(無RSS)  no
    64     113  lionsclubs.org                           網站(無RSS)  no
    65     111  accessibleandroid.com                    RSS  YES
    66     111  aph.org                                  RSS  YES
    67     111  donnajodhan.com                          RSS  YES
    68     107  bit.ly                                   基礎設施/短網址  YES
    69     106  accessready.org                          RSS  YES
    70     102  inclusiveimagination.co                  RSS  YES
    71     101  seattlelighthouse.org                    網站(無RSS)  no
    72      97  accesspark.shop                          贊助商/商店  no
    73      97  docs.google.com                          基礎設施/短網址  no
    74      94  tpgi.com                                 RSS  YES
    75      93  tiktok.com                               社群  no
    76      89  glidance.io                              網站(無RSS)  no
    77      79  marylandlibraries.zoom.us                基礎設施/短網址  no
    78      78  novacoast.com                            網站(無RSS)  no
    79      77  novacoastfederal.com                     網站(無RSS)  no
    80      76  echobatix.com                            RSS  YES
    81      76  hadleyhelps.org                          網站(無RSS)  no
    82      75  accessiblesurveys.com                    網站(無RSS)  no
    83      75  github.com                               網站(無RSS)  no
    84      73  deque.com                                RSS  YES
    85      73  hims-inc.com                             網站(無RSS)  no
    86      72  luminade.ai                              網站(無RSS)  no
    87      70  guidelightsandgadgets.us                 網站(無RSS)  no
    88      68  accessibleinsights.info                  網站(無RSS)  no
    89      65  drkirkadams.com                          RSS  YES
    90      65  perkins.org                              RSS  YES
    91      64  blog.innosearch.ai                       網站(無RSS)  no
    92      63  eastersealstech.com                      RSS  YES

依類型統計（占達標 link 數比例）:
  RSS                30 個 |    8145 links | 33%
  社群                  9 個 |    7380 links | 30%
  網站(無RSS)           33 個 |    5323 links | 21%
  贊助商/商店             10 個 |    2281 links | 9%
  基礎設施/短網址           10 個 |    1745 links | 7%




純內容 (排除社群/基礎設施/贊助商商店): 19,328 links / 1196 網域



[B] 純內容來源 (排除社群/基礎設施/贊助商商店)
80% 目標 (占純內容連結) = 15,462 links | 達標來源數 = 110 個 / 1196 個 (累計 15,487 = 80.1% of 純內容連結)

  RANK  LINKS  DOMAIN                                  TYPE        RSS?
     1     920  pneumasolutions.com                      RSS  YES
     2     625  carroll.org                              網站(無RSS)  no
     3     617  brailleworks.com                         RSS  YES
     4     587  aira.io                                  RSS  YES
     5     532  theaccessibilityguy.com                  RSS  YES
     6     511  mvsltd.com                               RSS  YES
     7     509  lhblind.org                              RSS  YES
     8     446  doubletaponair.com                       RSS  YES
     9     442  iamhable.com                             網站(無RSS)  no
    10     416  freedomscientific.com                    RSS  YES
    11     396  selvasblv.com                            網站(無RSS)  no
    12     390  visiontechacademy.com                    RSS  YES
    13     367  atguys.com                               網站(無RSS)  no
    14     338  makeitfable.com                          RSS  YES
    15     336  wayaround.com                            RSS  YES
    16     305  at-newswire.com                          RSS  YES
