YOUTUBE CHANNELS MOST LINKED IN TOP TECH TIDBITS
(via video oEmbed attribution) | 2024-01-04 - 2026-09-10, 141 issues | unique channels: 98

  RANK  ISSUES  CHANNEL_NAME
     1     139  selvas blv
     2     120  the blind life
     3     104  double tap - where blind people talk tech
     4      91  the accessibility guy
     5      56  humanware 
     6      20  carrie on accessibility
     7      11  marques brownlee
     8      11  accessibility and gen ai
     9       9  blazie technologies
    10       6  envision
    11       5  vispero training
    12       5  echobatix
    13       5  google
    14       5  hadley
    15       4  top tech tidbits
    16       4  v i labs - the accessible technology channel
    17       4  access tech live
    18       4  clovernook center
    19       4  new england low vision and blindness
    20       4  legally blind no limits
    21       3  matt wolfe
    22       3  glidance: intelligent guide for blind & low vision
    23       3  aira
    24       3  reuters
    25       3  alliance for equality of blind canadians
    26       2  sightless living
    27       2  cooking without looking
    28       2  the carroll center for the blind
    29       2  honda
    30       2  openai
    31       2  taylor arndt
    32       2  rnib
    33       2  maryland state library agency
    34       2  nosillacast
    35       2  wion
    36       2  american council of the blind
    37       2  innovative impact, llc
    38       2  dot inc.
    39       2  kayla o'connor
    40       2  jacob kruger
    41       2  elearningwithericka
    42       2  stormux
    43       1  matt talks tech
    44       1  mike tholfsen
    45       1  quantum reading learning vision - quantum rlv
    46       1  matthew berman
    47       1  national library of medicine
    48       1  mrwhosetheboss
    49       1  arevya
    50       1  real python
    51       1  3d printy
    52       1  africa kenyah
    53       1  dsurf
    54       1  dave's garage
    55       1  texomashomepage.com - kfdx, kjtl
    56       1  gallagher123123
    57       1  sight & sound technology limited
    58       1  fracture sounds
    59       1  national federation of the blind
    60       1  microsoft
    61       1  anduril industries 
    62       1  federal communications commission
    63       1  blind abilities (jeff thompson)
    64       1  jay pellis
    65       1  kmph fox26 news
    66       1  sight tech global
    67       1  accessible 3d
    68       1  gliding through blindness
    69       1  ashley biggs -msla-
    70       1  i’m blind. so what?
    71       1  smashing magazine
    72       1  the american foundation for the blind
    73       1  center on disabilities at csun
    74       1  wewalk
    75       1  kevin powell
    76       1  aquent gymnasium
    77       1  beyond tellerrand
    78       1  brodie robertson
    79       1  atia
    80       1  sinch mailgun
    81       1  salvis
    82       1  tpgi, a vispero company
    83       1  accessibility talks
    84       1  the verge
    85       1  fox31 denver
    86       1  illegallysighted
    87       1  euronews next
    88       1  the tesla space
    89       1  sarah todd hammer
    90       1  lucy greco's cooking and know before you buy
    91       1  zoomsoundlab
    92       1  national deaf center
    93       1  knowbility
    94       1  guinness world records kids
    95       1  ndc conferences
    96       1  steven sullivan
    97       1  sightsense
    98       1  isabela figueira

YOUTUBE CHANNELS BY DIRECT CHANNEL LINK
(profile/channel URLs only) | unique channels: 10

  RANK  ISSUES  CHANNEL
     1     146  youtube.com/@ucvtwpoo6bvrn2pofrewqggw
     2     146  youtube.com/@carrollcenter4blind
     3     146  youtube.com/@ucllctxrarob4apeqd5b_i6a
     4      44  youtube.com/@uceechn_ehv4wis7s82st3iw
     5      41  youtube.com/@ucbadb3q8yz2gn1novih_lda
     6      30  youtube.com/@uczrlpwac7w68j68ip0dqraa
     7      27  youtube.com/@uca-9ea5a3zwkgtpqrrzbzzw
     8       1  youtube.com/@seattlelighthouse
     9       1  youtube.com/@ucrasgw8s4nmafkrj5ybjb4w
    10       1  youtube.com/@ucpo0yzgqjmaa290djrbyhwq

TWITTER / X ACCOUNTS MOST LINKED IN TOP TECH TIDBITS
(profile & status links) | 2024-01-04 - 2026-09-10, 141 issues | unique accounts: 24

  RANK  ISSUES  HANDLE
     1     146  @airaio
     2     146  @carrollcenter
     3     146  @freedomsci
     4     146  @atguys
     5     144  @pantherbeepball
     6     144  @samarositz
     7     126  @dwoodbridge
     8      58  @iamhable
     9      55  @elegantinsights
    10      53  @brailleworks
    11      43  @blindguytech
    12      43  @marcaflalo
    13      43  @accesstechlive
    14      41  @toptechtidbits
    15      30  @talktolumin
    16      25  @sterling_adapt
    17      15  @mikedoise
    18       2  @hume_ai
    19       1  @aaron_stormerr
    20       1  @orbitresearch1
    21       1  @a11yawareness
    22       1  @rnib
    23       1  @rowancheung
    24       1  @minimax__ai
